ROIid;ROIabbr;ROIname;ROIcolor
1;lVisCent_ExStr_1;17Networks_LH_VisCent_ExStr_1;120 18 131
2;lVisCent_ExStr_2;17Networks_LH_VisCent_ExStr_2;120 18 132
3;lVisCent_ExStr_3;17Networks_LH_VisCent_ExStr_3;120 18 133
4;lVisCent_ExStr_4;17Networks_LH_VisCent_ExStr_4;120 18 134
5;lVisCent_ExStr_5;17Networks_LH_VisCent_ExStr_5;120 18 136
6;lVisCent_ExStr_6;17Networks_LH_VisCent_ExStr_6;120 18 137
7;lVisCent_Striate_1;17Networks_LH_VisCent_Striate_1;120 18 138
8;lVisCent_ExStr_7;17Networks_LH_VisCent_ExStr_7;120 18 139
9;lVisCent_ExStr_8;17Networks_LH_VisCent_ExStr_8;120 18 140
10;lVisCent_ExStr_9;17Networks_LH_VisCent_ExStr_9;120 18 141
11;lVisCent_ExStr_10;17Networks_LH_VisCent_ExStr_10;120 18 142
12;lVisCent_ExStr_11;17Networks_LH_VisCent_ExStr_11;120 19 135
13;lVisPeri_ExStrInf_1;17Networks_LH_VisPeri_ExStrInf_1;255 1 1
14;lVisPeri_ExStrInf_2;17Networks_LH_VisPeri_ExStrInf_2;255 1 2
15;lVisPeri_ExStrInf_3;17Networks_LH_VisPeri_ExStrInf_3;255 1 3
16;lVisPeri_ExStrInf_4;17Networks_LH_VisPeri_ExStrInf_4;255 1 4
17;lVisPeri_ExStrInf_5;17Networks_LH_VisPeri_ExStrInf_5;255 1 5
18;lVisPeri_StriCal_1;17Networks_LH_VisPeri_StriCal_1;255 1 6
19;lVisPeri_StriCal_2;17Networks_LH_VisPeri_StriCal_2;255 1 7
20;lVisPeri_ExStrSup_1;17Networks_LH_VisPeri_ExStrSup_1;255 2 0
21;lVisPeri_ExStrSup_2;17Networks_LH_VisPeri_ExStrSup_2;255 2 1
22;lVisPeri_ExStrSup_3;17Networks_LH_VisPeri_ExStrSup_3;255 2 2
23;lVisPeri_ExStrSup_4;17Networks_LH_VisPeri_ExStrSup_4;255 2 3
24;lVisPeri_ExStrSup_5;17Networks_LH_VisPeri_ExStrSup_5;255 2 4
25;lSomMotA_1;17Networks_LH_SomMotA_1;70 129 180
26;lSomMotA_2;17Networks_LH_SomMotA_2;70 130 173
27;lSomMotA_3;17Networks_LH_SomMotA_3;70 130 174
28;lSomMotA_4;17Networks_LH_SomMotA_4;70 130 175
29;lSomMotA_5;17Networks_LH_SomMotA_5;70 130 176
30;lSomMotA_6;17Networks_LH_SomMotA_6;70 130 177
31;lSomMotA_7;17Networks_LH_SomMotA_7;70 130 178
32;lSomMotA_8;17Networks_LH_SomMotA_8;70 130 179
33;lSomMotA_9;17Networks_LH_SomMotA_9;70 130 181
34;lSomMotA_10;17Networks_LH_SomMotA_10;70 130 182
35;lSomMotA_11;17Networks_LH_SomMotA_11;70 130 183
36;lSomMotA_12;17Networks_LH_SomMotA_12;70 130 184
37;lSomMotA_13;17Networks_LH_SomMotA_13;70 130 185
38;lSomMotA_14;17Networks_LH_SomMotA_14;70 130 186
39;lSomMotA_15;17Networks_LH_SomMotA_15;70 130 187
40;lSomMotA_16;17Networks_LH_SomMotA_16;70 131 180
41;lSomMotA_17;17Networks_LH_SomMotA_17;70 131 181
42;lSomMotA_18;17Networks_LH_SomMotA_18;70 131 182
43;lSomMotA_19;17Networks_LH_SomMotA_19;70 131 183
44;lSomMotB_Aud_1;17Networks_LH_SomMotB_Aud_1;43 204 158
45;lSomMotB_Aud_2;17Networks_LH_SomMotB_Aud_2;43 204 159
46;lSomMotB_Ins_1;17Networks_LH_SomMotB_Ins_1;43 204 160
47;lSomMotB_S2_1;17Networks_LH_SomMotB_S2_1;43 204 161
48;lSomMotB_S2_2;17Networks_LH_SomMotB_S2_2;43 204 162
49;lSomMotB_Aud_3;17Networks_LH_SomMotB_Aud_3;43 204 163
50;lSomMotB_Aud_4;17Networks_LH_SomMotB_Aud_4;43 204 165
51;lSomMotB_S2_3;17Networks_LH_SomMotB_S2_3;43 204 166
52;lSomMotB_S2_4;17Networks_LH_SomMotB_S2_4;43 204 167
53;lSomMotB_S2_5;17Networks_LH_SomMotB_S2_5;43 204 168
54;lSomMotB_S2_6;17Networks_LH_SomMotB_S2_6;43 204 169
55;lSomMotB_Cent_1;17Networks_LH_SomMotB_Cent_1;43 204 170
56;lSomMotB_Cent_2;17Networks_LH_SomMotB_Cent_2;43 204 171
57;lSomMotB_Cent_3;17Networks_LH_SomMotB_Cent_3;43 205 164
58;lSomMotB_Cent_4;17Networks_LH_SomMotB_Cent_4;43 205 165
59;lSomMotB_Cent_5;17Networks_LH_SomMotB_Cent_5;43 205 166
60;lDorsAttnA_TempOcc_1;17Networks_LH_DorsAttnA_TempOcc_1;74 155 61
61;lDorsAttnA_TempOcc_2;17Networks_LH_DorsAttnA_TempOcc_2;74 155 62
62;lDorsAttnA_TempOcc_3;17Networks_LH_DorsAttnA_TempOcc_3;74 155 63
63;lDorsAttnA_TempOcc_4;17Networks_LH_DorsAttnA_TempOcc_4;74 155 64
64;lDorsAttnA_ParOcc_1;17Networks_LH_DorsAttnA_ParOcc_1;74 155 65
65;lDorsAttnA_ParOcc_2;17Networks_LH_DorsAttnA_ParOcc_2;74 156 58
66;lDorsAttnA_SPL_1;17Networks_LH_DorsAttnA_SPL_1;74 156 59
67;lDorsAttnA_SPL_2;17Networks_LH_DorsAttnA_SPL_2;74 156 61
68;lDorsAttnA_SPL_3;17Networks_LH_DorsAttnA_SPL_3;74 156 62
69;lDorsAttnA_SPL_4;17Networks_LH_DorsAttnA_SPL_4;74 156 63
70;lDorsAttnA_SPL_5;17Networks_LH_DorsAttnA_SPL_5;74 156 64
71;lDorsAttnA_SPL_6;17Networks_LH_DorsAttnA_SPL_6;74 156 65
72;lDorsAttnA_SPL_7;17Networks_LH_DorsAttnA_SPL_7;74 156 66
73;lDorsAttnB_PostC_1;17Networks_LH_DorsAttnB_PostC_1;0 118 12
74;lDorsAttnB_PostC_2;17Networks_LH_DorsAttnB_PostC_2;0 118 13
75;lDorsAttnB_PostC_3;17Networks_LH_DorsAttnB_PostC_3;0 118 14
76;lDorsAttnB_PostC_4;17Networks_LH_DorsAttnB_PostC_4;0 118 16
77;lDorsAttnB_PostC_5;17Networks_LH_DorsAttnB_PostC_5;0 118 17
78;lDorsAttnB_PostC_6;17Networks_LH_DorsAttnB_PostC_6;0 118 18
79;lDorsAttnB_PostC_7;17Networks_LH_DorsAttnB_PostC_7;0 118 19
80;lDorsAttnB_PostC_8;17Networks_LH_DorsAttnB_PostC_8;0 118 20
81;lDorsAttnB_PostC_9;17Networks_LH_DorsAttnB_PostC_9;0 118 21
82;lDorsAttnB_FEF_1;17Networks_LH_DorsAttnB_FEF_1;0 119 15
83;lDorsAttnB_FEF_2;17Networks_LH_DorsAttnB_FEF_2;0 119 16
84;lDorsAttnB_FEF_3;17Networks_LH_DorsAttnB_FEF_3;0 119 17
85;lDorsAttnB_PrCv_1;17Networks_LH_DorsAttnB_PrCv_1;0 119 18
86;lSalVentAttnA_ParOper_1;17Networks_LH_SalVentAttnA_ParOper_1;196 58 251
87;lSalVentAttnA_ParOper_2;17Networks_LH_SalVentAttnA_ParOper_2;196 58 252
88;lSalVentAttnA_ParOper_3;17Networks_LH_SalVentAttnA_ParOper_3;196 58 253
89;lSalVentAttnA_Ins_1;17Networks_LH_SalVentAttnA_Ins_1;196 59 249
90;lSalVentAttnA_Ins_2;17Networks_LH_SalVentAttnA_Ins_2;196 59 251
91;lSalVentAttnA_Ins_3;17Networks_LH_SalVentAttnA_Ins_3;196 59 252
92;lSalVentAttnA_Ins_4;17Networks_LH_SalVentAttnA_Ins_4;196 59 253
93;lSalVentAttnA_FrOper_1;17Networks_LH_SalVentAttnA_FrOper_1;196 59 254
94;lSalVentAttnA_FrOper_2;17Networks_LH_SalVentAttnA_FrOper_2;196 59 255
95;lSalVentAttnA_ParMed_1;17Networks_LH_SalVentAttnA_ParMed_1;193 52 249
96;lSalVentAttnA_ParMed_2;17Networks_LH_SalVentAttnA_ParMed_2;193 52 250
97;lSalVentAttnA_ParMed_3;17Networks_LH_SalVentAttnA_ParMed_3;193 52 251
