# id;name;version;mpm;surface;default-granularity;high-granularity;sub-01;sub-02;sub-03;sub-04;sub-05;sub-06;sub-07;sub-08;sub-09;sub-10;sub-11;sub-12;sub-13;sub-14;sub-15;sub-16;sub-17;sub-18;sub-19;sub-20;sub-21;sub-22;sub-23;sub-24;sub-26
1;Area-45;13.0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2;Area-44;13.0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3;Area-Fo1;5.2;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
4;Area-Fo2;5.2;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
5;Area-Fo3;5.2;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
6;Area-hOc5;4.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Area-hOc2;4.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Area-hOc1;4.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Area-hOc4v;5.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Area-hOc3v;5.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Amygdala-LB.Bl;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
13;Amygdala-LB.La;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
15;Amygdala-LB.Pl;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
16;Amygdala-CM.Ce;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
17;Amygdala-SF.APir;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
18;Amygdala-Astr;8.2;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
19;Amygdala-LB.Bm;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
21;Amygdala-CM.Me;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
22;Amygdala-CM.AAA;8.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
27;Area-Te-1.0;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
28;Area-Te-2.1;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
29;Area-TPJ;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
30;Area-Te-1.2;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
31;Area-Te-3;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
33;Area-Te-1.1;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
34;Area-Te-2.2;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
39;Area-33;20.1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
40;Area-p24ab.p24b;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
43;Area-p24ab.p24a;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
46;Area-s32;20.1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
47;Area-p32;20.1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
48;Area-s24.s24b;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
49;Area-s24.s24a;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
50;Area-p24c.pd24cv;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
51;Area-p24c.pv24c;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
52;Area-p24c.pd24cd;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
53;Area-25.25p;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
55;Area-25.25a;20.1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
56;Area-Id2;9.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
57;Area-Id3;9.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
58;Hippocampus-CA2;13.2;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
59;Hippocampus-CA3;13.2;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
60;Area-EC;13.2;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
61;Hippocampus-DG;13.2;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
62;Hippocampus-Subc.PaS;13.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
63;Hippocampus-Subc.PreS;13.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
64;Hippocampus-Subc.ProS;13.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
66;Hippocampus-CA1;13.2;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
67;Hippocampus-Subc.Sub;13.2;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
68;Hippocampus-HATA;13.2;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
72;Area-Op4;13.0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;Area-Op1;13.0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
74;Area-Op2;13.0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
75;Area-Op3;13.0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
77;Thalamus-VAmc;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
78;Thalamus-VA;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
79;Thalamus-Pf;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
80;Thalamus-LP;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
81;Thalamus-Li;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
82;Thalamus-Pv;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
83;Thalamus-Sg;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
84;Thalamus-Po;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
85;Thalamus-sPf;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
86;Thalamus-Rt;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
88;Thalamus-CL;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
89;Thalamus-PUi;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
91;Thalamus-CM;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
92;Thalamus-VM;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
94;Thalamus-VPMpc;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
95;Thalamus-LD;9.0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
106;Area-FG2;3.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;Area-FG1;3.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Area-PGp;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
109;Area-PFt;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
110;Area-PGa;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
111;Area-PFop;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
112;Area-PFm;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
113;Area-PFcm;11.2;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
114;Area-Ig2;14.2;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
115;Area-Ig1;14.2;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
116;Area-Id1;14.2;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
117;Area-hOc4lp;5.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;Area-hOc4la;5.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Area-hOc4d;4.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;Area-hOc3d;4.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Area-4p;14.0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
124;Area-4a;14.0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
125;Area-1;13.0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
126;Area-3a;13.0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
127;Area-3b;13.0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
128;Area-hIP1;7.2;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
129;Area-hIP2;7.2;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
130;Area-5L;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
131;Area-5M;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
132;Area-7PC;9.2;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
