ROIid;ROIappr;ROIname;ROIoname
0;BG;Background;Background
1;l;Left Bothside;Acoustic radiation  & Corticospinal tract  & Fornix  & Optic radiation  & Uncinate fascicle 
2;r;Right Bothside;Acoustic radiation  & Corticospinal tract  & Fornix  & Optic radiation  & Uncinate fascicle 
3;lAmyCM;Left Amygdala (CM);Amyg (CM) 
4;rAmyCM;Right Amygdala (CM);Amyg (CM) 
5;lAmyLB;Left Amygdala (LB);Amyg (LB) 
6;rAmyLB;Right Amygdala (LB);Amyg (LB) 
7;lAmySF;Left Amygdala (SF);Amyg (SF) 
8;rAmySF;Right Amygdala (SF);Amyg (SF) 
9;lBrod01;Left Brodmann Area 1;Area 1 
10;rBrod01;Right Brodmann Area 1;Area 1 
11;lBrod17;Left Brodmann Area 17;Area 17 
12;rBrod17;Right Brodmann Area 17;Area 17 
13;lBrod18Brod01;Left Brodmann Area 18 Brodmann Area 1;Area 18 
14;rBrod18Brod01;Right Brodmann Area 18 Brodmann Area 1;Area 18 
15;lBrod02;Left Brodmann Area 2;Area 2 
16;rBrod02;Right Brodmann Area 2;Area 2 
17;lBrod03a;Left Brodmann Area 3a;Area 3a 
18;rBrod03a;Right Brodmann Area 3a;Area 3a 
19;lBrod03b;Left Brodmann Area 3b;Area 3b 
20;rBrod03b;Right Brodmann Area 3b;Area 3b 
21;lBrod44;Left Brodmann Area 44;Area 44 
22;rBrod44;Right Brodmann Area 44;Area 44 
23;lBrod45;Left Brodmann Area 45;Area 45 
24;rBrod45;Right Brodmann Area 45;Area 45 
25;lBrod04a;Left Brodmann Area 4a;Area 4a 
26;rBrod04a;Right Brodmann Area 4a;Area 4a 
27;lBrod04p;Left Brodmann Area 4p;Area 4p 
28;rBrod04p;Right Brodmann Area 4p;Area 4p 
29;lBrod06;Left Brodmann Area 6;Area 6 
30;rBrod06;Right Brodmann Area 6;Area 6 
31;lBod;Left (Body);Callosal body  & Mamillary body 
32;rBod;Right (Body);Callosal body  & Mamillary body 
33;lCin;Left Cingulum;Cingulum 
34;rCin;Right Cingulum;Cingulum 
35;lHipPF;Left Hippocampus (CA);Hipp (CA) 
36;rHipPF;Right Hippocampus (CA);Hipp (CA) 
37;lHipEC;Left Hippocampus (EC);Hipp (EC) 
38;rHipEC;Right Hippocampus (EC);Hipp (EC) 
39;lHipFD;Left Hippocampus (FD);Hipp (FD) 
40;rHipFD;Right Hippocampus (FD);Hipp (FD) 
41;lHipHATA;Left Hippocampus (HATA);Hipp (HATA) 
42;rHipHATA;Right Hippocampus (HATA);Hipp (HATA) 
43;lHipSub;Left Hippocampus (SUB);Hipp (SUB) 
44;rHipSub;Right Hippocampus (SUB);Hipp (SUB) 
45;lIPC_PF;Left IPC (PF);IPC (PF) 
46;rIPC_PF;Right IPC (PF);IPC (PF) 
47;lIPC_PFcm;Left IPC (PFcm);IPC (PFcm) 
48;rIPC_PFcm;Right IPC (PFcm);IPC (PFcm) 
49;lIPC_PFm;Left IPC (PFm);IPC (PFm) 
50;rIPC_PFm;Right IPC (PFm);IPC (PFm) 
51;lIPC_PFop;Left IPC (PFop);IPC (PFop) 
52;rIPC_PFop;Right IPC (PFop);IPC (PFop) 
53;lIPC_PFt;Left IPC (PFt);IPC (PFt) 
54;rIPC_PFt;Right IPC (PFt);IPC (PFt) 
55;lIPC_PFp;Left IPC (PGa);IPC (PGa)  & IPC (PGp) 
56;rIPC_PFp;Right IPC (PGa);IPC (PGa)  & IPC (PGp) 
57;lInfFro;Left Inferior Frontal;Inferior occipito-frontal fascicle 
58;rInfFro;Right Inferior Frontal;Inferior occipito-frontal fascicle 
59;lInsId1;Left Insula (Id1);Insula (Id1) 
60;rInsId1;Right Insula (Id1);Insula (Id1) 
61;lInsIg1;Left Insula (Ig1);Insula (Ig1) 
62;rInsIg1;Right Insula (Ig1);Insula (Ig1) 
63;lInsIg2;Left Insula (Ig2);Insula (Ig2) 
64;rInsIg2;Right Insula (Ig2);Insula (Ig2) 
65;lLatBod;Left Lateral (Body);Lateral geniculate body 
66;rLatBod;Right Lateral (Body);Lateral geniculate body 
67;lLCbe9H;Left Lobe Lobule IX (Hem);Lobule IX (Hem) 
68;rLCbe9H;Right Lobe Lobule IX (Hem);Lobule IX (Hem) 
69;lLVerCbe9V;Left Lobe Vermis Lobule IX (Vermis);Lobule IX (Vermis) 
