ROIid;ROIappr;ROIname;ROIbase
0;BG;Background;Background
1;rHCA1;Right Hippocampus CA1;
2;rHSub;Right Hippocampus Subiculum;
4;rHCA4;Right Hippocampus CA4/Dentate Gyrus;
5;rHCA2_3;Right Hippocampus CA2/CA3;
6;rHStrat;Right Stratum Radiatum/Lacunosum/Moleculare;
11;lAntCerebLI_II;Left Anterior Cerebellar Lobule I-II;
12;lAntCerebLIII;Left Anterior Cerebellar Lobule III;
13;lAntCerebLIV;Left Anterior Cerebellar Lobule IV;
14;lAntCerebLV;Left Anterior Cerebellar Lobule V;
15;lSupPostCerebLVI;Left Superior Posterior Cerebellar Lobule VI;
16;lSupPostCerebCI;Left Superior Posterior Cerebellar Lobule Crus I;
17;lSupPostCerebCII;Left Superior Posterior Cerebellar Lobule Crus II;
18;lSupPostCerebLVIIB;Left Superior Posterior Cerebellar Lobule VIIB;
19;lInfPostCerebLVIIIA;Left Inferior Posterior Cerebellar Lobule VIIIA;
20;lInfPostCerebLVIIIB;Left Inferior Posterior Cerebellar Lobule VIIIB;
21;lInfPostCerebLIX;Left Inferior Posterior Cerebellar Lobule IX-;
22;lInfPostCerebLX;Left Inferior Posterior Cerebellar Lobule X;
23;lAntCerebWM;Left Cerebellar White Matter;
26;lAmy;Left Amygdala;
101;lHCA1;Left Hippocampus CA1;
102;lHSub;Left Hippocampus Subiculum;
104;lHCA4;Left Hippocampus CA4/Dentate Gyrus;
105;lHCA2_3;Left Hippocampus CA2/CA3;
106;lHStrat;Left Stratum Radiatum/Lacunosum/Moleculare;
111;rAntCerebLI_II;Right Anterior Cerebellar Lobule I-II;
112;rAntCerebLIII;Right Anterior Cerebellar Lobule III;
113;rAntCerebLIV;Right Anterior Cerebellar Lobule IV;
114;rAntCerebLV;Right Anterior Cerebellar Lobule V;
115;rSupPostCerebLVI;Right Superior Posterior Cerebellar Lobule VI;
116;rSupPostCerebCI;Right Superior Posterior Cerebellar Lobule Crus I;
117;rSupPostCerebCII;Right Superior Posterior Cerebellar Lobule Crus II;
118;rSupPostCerebLVIIB;Right Superior Posterior Cerebellar Lobule VIIB;
119;rInfPostCerebLVIIIA;Right Inferior Posterior Cerebellar Lobule VIIIA;
120;rInfPostCerebLVIIIB;Right Inferior Posterior Cerebellar Lobule VIIIB;
121;rInfPostCerebLIX;Right Inferior Posterior Cerebellar Lobule IX-;
122;rInfPostCerebLX;Right Inferior Posterior Cerebellar Lobule X;
123;rAntCerebWM;Right Cerebellar White Matter;
126;rAmy;Right Amygdala;
