ROIid;ROIappr;ROIname;ROIbase
0;BG;Background;Background
1;lHip;Left Hippocampus;Right Hippocampus  & Left Hippocampus 
2;rHip;Right Hippocampus;Right Hippocampus  & Left Hippocampus 
3;lAmy;Left Amygdala;Right Amygdala  & Left Amygdala 
4;rAmy;Right Amygdala;Right Amygdala  & Left Amygdala 
5;lAntMedTemL;Left Anterior Medial Temporal Lobe;Right Anterior temporal lobe medial part  & Left Anterior temporal lobe medial part 
6;rAntMedTemL;Right Anterior Medial Temporal Lobe;Right Anterior temporal lobe medial part  & Left Anterior temporal lobe medial part 
7;lAntLatTemL;Left Anterior Lateral Temporal Lobe;Right Anterior temporal lobe lateral part  & Left Anterior temporal lobe lateral part 
8;rAntLatTemL;Right Anterior Lateral Temporal Lobe;Right Anterior temporal lobe lateral part  & Left Anterior temporal lobe lateral part 
9;lAmbaParHipG;Left Ambient and Parahippocampus Gyri;Right Parahippocampal and ambient gyri  & Left Parahippocampal and ambient gyri 
10;rAmbaParHipG;Right Ambient and Parahippocampus Gyri;Right Parahippocampal and ambient gyri  & Left Parahippocampal and ambient gyri 
11;lSupTemG;Left Superior Temporal Gyrus;Right Superior temporal gyrus  & Left Superior temporal gyrus 
12;rSupTemG;Right Superior Temporal Gyrus;Right Superior temporal gyrus  & Left Superior temporal gyrus 
13;lInfMidTemG;Left Inferior Middle Temporal Gyri;Right Middle and inferior temporal gyri  & Left Middle and inferior temporal gyri 
14;rInfMidTemG;Right Inferior Middle Temporal Gyri;Right Middle and inferior temporal gyri  & Left Middle and inferior temporal gyri 
15;lFusG;Left Fusiform Gyrus;Right Fusiform gyrus  & Left Fusiform gyrus 
16;rFusG;Right Fusiform Gyrus;Right Fusiform gyrus  & Left Fusiform gyrus 
17;lCbe;Left Cerebellum;Right Cerebellum  & Left Cerebellum 
18;rCbe;Right Cerebellum;Right Cerebellum  & Left Cerebellum 
19;lBst;Left Brainstem;Brainstem 
20;rBst;Right Brainstem;Brainstem 
21;lIns;Left Insula;Left Insula  & Right Insula 
22;rIns;Right Insula;Left Insula  & Right Insula 
23;lLatOccL;Left Lateral Occipital Lobe;Left Lateral remainder of occipital lobe  & Right Lateral remainder of occipital lobe 
24;rLatOccL;Right Lateral Occipital Lobe;Left Lateral remainder of occipital lobe  & Right Lateral remainder of occipital lobe 
