ROIid;ROIappr;ROIname;ROIbase
0;BG;Background;Background
1;lSupParL;Left Superior Parietal Lobe;SUPERIOR_PARIETAL_LOBULE_left  & SUPERIOR_PARIETAL_LOBULE_right 
2;rSupParL;Right Superior Parietal Lobe;SUPERIOR_PARIETAL_LOBULE_left  & SUPERIOR_PARIETAL_LOBULE_right 
3;lCinG;Left Cingulate Gyrus;CINGULATE_GYRUS_left  & CINGULATE_GYRUS_right 
4;rCinG;Right Cingulate Gyrus;CINGULATE_GYRUS_left  & CINGULATE_GYRUS_right 
5;lSupFroG;Left Superior Frontal Gyrus;SUPERIOR_FRONTAL_GYRUS_left  & SUPERIOR_FRONTAL_GYRUS_right 
6;rSupFroG;Right Superior Frontal Gyrus;SUPERIOR_FRONTAL_GYRUS_left  & SUPERIOR_FRONTAL_GYRUS_right 
7;lMidFroG;Left Middle Frontal Gyrus;MIDDLE_FRONTAL_GYRUS_left  & MIDDLE_FRONTAL_GYRUS_right 
8;rMidFroG;Right Middle Frontal Gyrus;MIDDLE_FRONTAL_GYRUS_left  & MIDDLE_FRONTAL_GYRUS_right 
9;lFroG;Left Frontal Gyrus;INFERIOR_FRONTAL_GYRUS_left  & INFERIOR_FRONTAL_GYRUS_right 
10;rFroG;Right Frontal Gyrus;INFERIOR_FRONTAL_GYRUS_left  & INFERIOR_FRONTAL_GYRUS_right 
11;lPrcG;Left Precentral Gyrus;PRECENTRAL_GYRUS_left  & PRECENTRAL_GYRUS_right 
12;rPrcG;Right Precentral Gyrus;PRECENTRAL_GYRUS_left  & PRECENTRAL_GYRUS_right 
13;lPoCG;Left Postcentral Gyrus;POSTCENTRAL_GYRUS_left  & POSTCENTRAL_GYRUS_right 
14;rPoCG;Right Postcentral Gyrus;POSTCENTRAL_GYRUS_left  & POSTCENTRAL_GYRUS_right 
15;lAngG;Left Angular Gyrus;ANGULAR_GYRUS_left  & ANGULAR_GYRUS_right 
16;rAngG;Right Angular Gyrus;ANGULAR_GYRUS_left  & ANGULAR_GYRUS_right 
17;lCun;Left Cuneus;PRE-CUNEUS_left  & PRE-CUNEUS_right 
18;rCun;Right Cuneus;PRE-CUNEUS_left  & PRE-CUNEUS_right 
19;lLinG;Left Lingual Gyrus;LINGUAL_GYRUS_left  & LINGUAL_GYRUS_right 
20;rLinG;Right Lingual Gyrus;LINGUAL_GYRUS_left  & LINGUAL_GYRUS_right 
21;lFusG;Left Fusiform Gyrus;FUSIFORM_GYRUS_left  & FUSIFORM_GYRUS_right 
22;rFusG;Right Fusiform Gyrus;FUSIFORM_GYRUS_left  & FUSIFORM_GYRUS_right 
23;lParHipG;Left Parahippocampus Gyrus;PARAHIPPOCAMPAL_GYRUS_left  & PARAHIPPOCAMPAL_GYRUS_right 
24;rParHipG;Right Parahippocampus Gyrus;PARAHIPPOCAMPAL_GYRUS_left  & PARAHIPPOCAMPAL_GYRUS_right 
25;lSupOccG;Left Superior Occipital Gyrus;SUPERIOR_OCCIPITAL_GYRUS_left  & SUPERIOR_OCCIPITAL_GYRUS_right 
26;rSupOccG;Right Superior Occipital Gyrus;SUPERIOR_OCCIPITAL_GYRUS_left  & SUPERIOR_OCCIPITAL_GYRUS_right 
27;lOccG;Left Occipital Gyrus;INFERIOR_OCCIPITAL_GYRUS  & INFERIOR_OCCIPITAL_GYRUS_right 
28;rOccG;Right Occipital Gyrus;INFERIOR_OCCIPITAL_GYRUS  & INFERIOR_OCCIPITAL_GYRUS_right 
29;lMidOccG;Left Middle Occipital Gyrus;MIDDLE_OCCIPITAL_GYRUS  & MIDDLE_OCCIPITAL_GYRUS_right 
30;rMidOccG;Right Middle Occipital Gyrus;MIDDLE_OCCIPITAL_GYRUS  & MIDDLE_OCCIPITAL_GYRUS_right 
31;lEnt;Left Entorhinal Area;ENTORHINAL_AREA  & ENTORHINAL_AREA_right 
32;rEnt;Right Entorhinal Area;ENTORHINAL_AREA  & ENTORHINAL_AREA_right 
33;lSupTemG;Left Superior Temporal Gyrus;SUPERIOR_TEMPORAL_GYRUS  & SUPERIOR_TEMPORAL_GYRUS_right 
34;rSupTemG;Right Superior Temporal Gyrus;SUPERIOR_TEMPORAL_GYRUS  & SUPERIOR_TEMPORAL_GYRUS_right 
35;lTemG;Left Temporal Gyrus;INFERIOR_TEMPORAL_GYRUS  & INFERIOR_TEMPORAL_GYRUS_right 
36;rTemG;Right Temporal Gyrus;INFERIOR_TEMPORAL_GYRUS  & INFERIOR_TEMPORAL_GYRUS_right 
37;lMidTemG;Left Middle Temporal Gyrus;MIDDLE_TEMPORAL_GYRUS  & MIDDLE_TEMPORAL_GYRUS_right 
38;rMidTemG;Right Middle Temporal Gyrus;MIDDLE_TEMPORAL_GYRUS  & MIDDLE_TEMPORAL_GYRUS_right 
39;lLatOrbG;Left Lateral Orbital Gyrus;LATERAL_FRONTO-ORBITAL_GYRUS  & LATERAL_FRONTO-ORBITAL_GYRUS_right 
40;rLatOrbG;Right Lateral Orbital Gyrus;LATERAL_FRONTO-ORBITAL_GYRUS  & LATERAL_FRONTO-ORBITAL_GYRUS_right 
41;lMidOrbG;Left Middle Orbital Gyrus;MIDDLE_FRONTO-ORBITAL_GYRUS  & MIDDLE_FRONTO-ORBITAL_GYRUS_right 
42;rMidOrbG;Right Middle Orbital Gyrus;MIDDLE_FRONTO-ORBITAL_GYRUS  & MIDDLE_FRONTO-ORBITAL_GYRUS_right 
43;lSupMarG;Left Supramarginal Gyrus;SUPRAMARGINAL_GYRUS  & SUPRAMARGINAL_GYRUS_right 
44;rSupMarG;Right Supramarginal Gyrus;SUPRAMARGINAL_GYRUS  & SUPRAMARGINAL_GYRUS_right 
45;lRecG;Left Rectus Gyrus;GYRUS_RECTUS  & GYRUS_RECTUS_right 
46;rRecG;Right Rectus Gyrus;GYRUS_RECTUS  & GYRUS_RECTUS_right 
47;lIns;Left Insula;INSULAR  & INSULAR_right 
48;rIns;Right Insula;INSULAR  & INSULAR_right 
49;lAmy;Left Amygdala;AMYGDALA  & AMYGDALA_right 
50;rAmy;Right Amygdala;AMYGDALA  & AMYGDALA_right 
51;lHip;Left Hippocampus;HIPPOCAMPUS  & HIPPOCAMPUS_right 
52;rHip;Right Hippocampus;HIPPOCAMPUS  & HIPPOCAMPUS_right 
53;lCbe;Left Cerebellum;CEREBELLUM  & CEREBELLUM_right 
54;rCbe;Right Cerebellum;CEREBELLUM  & CEREBELLUM_right 
55;lCST;Left corticospinal_tract;Corticospinal_tract_left  & Corticospinal_tract_right 
