ROIid;ROIappr;ROIname;ROIbaseid;ROIbasename;Voxel;Volume;XYZ
0;BG;Background;[0];Background;1606629;5422.37;-0.13,-16.85,20.71
1;l;Left ;[ 4 11 47 48 49 50 51 52 61 62 69 100 101 102 103 104 105 106 107 108 109 112 113 114 115 116 117 118 119 120 121 122 123 124 125 132 133 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 160 161 162 163 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 ];Left/Right/Both:3rd-Ventricle.4th-Ventricle.ACgG-anterior-cingulate-gyrus.AIns-anterior-insula.AOrG-anterior-orbital-gyrus.AnG-angular-gyrus.CO-central-operculum.Calc-calcarine-cortex.Cun-cuneus.Ent-entorhinal-area.FO-frontal-operculum.FRP-frontal-pole.FuG-fusiform-gyrus.GRe-gyrus-rectus.Hippocampus.ITG-inferior-temporal-gyrus.Inf-Lat-Vent.LOrG-lateral-orbital-gyrus.Lateral-Ventricle.MCgG-middle-cingulate-gyrus.MFC-medial-frontal-cortex.MFG-middle-frontal-gyrus.MOG-middle-occipital-gyrus.MOrG-medial-orbital-gyrus.MPoG-postcentral-gyrus-medial-segment.MPrG-precentral-gyrus-medial-segment.MSFG-superior-frontal-gyrus-medial-segment.MTG-middle-temporal-gyrus.OCP-occipital-pole.OFuG-occipital-fusiform-gyrus.OpIFG-opercular-part-of-the-inferior-frontal-gyrus.Optic-Chiasm.PCgG-posterior-cingulate-gyrus.PCu-precuneus.PHG-parahippocampal-gyrus.PIns-posterior-insula.PO-parietal-operculum.POrG-posterior-orbital-gyrus.PP-planum-polare.PT-planum-temporale.PoG-postcentral-gyrus.PrG-precentral-gyrus.SCA-subcallosal-area.SFG-superior-frontal-gyrus.SMC-supplementary-motor-cortex.SMG-supramarginal-gyrus.SOG-superior-occipital-gyrus.SPL-superior-parietal-lobule.STG-superior-temporal-gyrus.TMP-temporal-pole.TTG-transverse-temporal-gyrus.TrIFG-triangular-part-of-the-inferior-frontal-gyrus.Ventral-DC; 131049; 442.29;-29.77,-16.63,17.99
2;r;Right ;[ 4 11 47 48 49 50 51 52 61 62 69 100 101 102 103 104 105 106 107 108 109 112 113 114 115 116 117 118 119 120 121 122 123 124 125 132 133 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 160 161 162 163 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 ];Left/Right/Both:3rd-Ventricle.4th-Ventricle.ACgG-anterior-cingulate-gyrus.AIns-anterior-insula.AOrG-anterior-orbital-gyrus.AnG-angular-gyrus.CO-central-operculum.Calc-calcarine-cortex.Cun-cuneus.Ent-entorhinal-area.FO-frontal-operculum.FRP-frontal-pole.FuG-fusiform-gyrus.GRe-gyrus-rectus.Hippocampus.ITG-inferior-temporal-gyrus.Inf-Lat-Vent.LOrG-lateral-orbital-gyrus.Lateral-Ventricle.MCgG-middle-cingulate-gyrus.MFC-medial-frontal-cortex.MFG-middle-frontal-gyrus.MOG-middle-occipital-gyrus.MOrG-medial-orbital-gyrus.MPoG-postcentral-gyrus-medial-segment.MPrG-precentral-gyrus-medial-segment.MSFG-superior-frontal-gyrus-medial-segment.MTG-middle-temporal-gyrus.OCP-occipital-pole.OFuG-occipital-fusiform-gyrus.OpIFG-opercular-part-of-the-inferior-frontal-gyrus.Optic-Chiasm.PCgG-posterior-cingulate-gyrus.PCu-precuneus.PHG-parahippocampal-gyrus.PIns-posterior-insula.PO-parietal-operculum.POrG-posterior-orbital-gyrus.PP-planum-polare.PT-planum-temporale.PoG-postcentral-gyrus.PrG-precentral-gyrus.SCA-subcallosal-area.SFG-superior-frontal-gyrus.SMC-supplementary-motor-cortex.SMG-supramarginal-gyrus.SOG-superior-occipital-gyrus.SPL-superior-parietal-lobule.STG-superior-temporal-gyrus.TMP-temporal-pole.TTG-transverse-temporal-gyrus.TrIFG-triangular-part-of-the-inferior-frontal-gyrus.Ventral-DC; 129917; 438.47;31.54,-14.31,17.76
3;lAcc;Left Accumbens;[ 23 30 ];Left/Right:Accumbens-Area;    151;   0.51;-9.27,11.88,-6.55
4;rAcc;Right Accumbens;[ 23 30 ];Left/Right:Accumbens-Area;    154;   0.52;9.55,12.18,-6.00
5;lAmy;Left Amygdala;[ 31 32 ];Left/Right:Amygdala;    320;   1.08;-21.64,-5.23,-19.39
6;rAmy;Right Amygdala;[ 31 32 ];Left/Right:Amygdala;    321;   1.08;21.94,-4.37,-19.24
7;lBst;Left Brainstem;[ 35 ];Both:Brain-Stem;   3737;  12.61;-5.38,-30.03,-30.58
8;rBst;Right Brainstem;[ 35 ];Both:Brain-Stem;   4129;  13.94;5.83,-30.28,-33.49
9;lCau;Left Caudate;[ 36 37 ];Left/Right:Caudate;   1163;   3.93;-12.93,8.97,10.26
10;rCau;Right Caudate;[ 36 37 ];Left/Right:Caudate;   1262;   4.26;13.95,10.21,10.94
11;lExtCbe;Left Exterior Cerebellum;[ 38 39 ];Left/Right:Cerebellum-Exterior;  22492;  75.91;-24.87,-62.27,-38.36
12;rExtCbe;Right Exterior Cerebellum;[ 38 39 ];Left/Right:Cerebellum-Exterior;  22199;  74.92;25.00,-62.16,-38.06
13;lCbeWM;Left Cerebellum White Matter;[ 40 41 ];Left/Right:Cerebellum-White-Matter;   5239;  17.68;-17.45,-51.62,-35.48
14;rCbeWM;Right Cerebellum White Matter;[ 40 41 ];Left/Right:Cerebellum-White-Matter;   4771;  16.10;17.85,-51.00,-35.16
15;lCbrWM;Left Cerebral White Matter;[ 44 45 ];Left/Right:Cerebral-White-Matter;  81729; 275.84;-26.89,-15.54,16.49
16;rCbrWM;Right Cerebral White Matter;[ 44 45 ];Left/Right:Cerebral-White-Matter;  80154; 270.52;27.23,-13.86,16.92
17;lCSF;Left CSF;[ 46 ];Both:CSF;    198;   0.67;-1.54,-25.55,8.30
18;rCSF;Right CSF;[ 46 ];Both:CSF;    206;   0.70;3.20,-25.78,8.47
