ROIid;ROIabbr;ROIname;ROIcolor
1;lVisCent_ExStr_1;17Networks_LH_VisCent_ExStr_1;120 18 134
2;lVisCent_ExStr_2;17Networks_LH_VisCent_ExStr_2;120 18 136
3;lVisCent_Striate_1;17Networks_LH_VisCent_Striate_1;120 18 137
4;lVisCent_ExStr_3;17Networks_LH_VisCent_ExStr_3;120 18 138
5;lVisCent_ExStr_4;17Networks_LH_VisCent_ExStr_4;120 18 139
6;lVisCent_ExStr_5;17Networks_LH_VisCent_ExStr_5;120 18 140
7;lVisPeri_ExStrInf_1;17Networks_LH_VisPeri_ExStrInf_1;255 1 1
8;lVisPeri_ExStrInf_2;17Networks_LH_VisPeri_ExStrInf_2;255 1 2
9;lVisPeri_ExStrInf_3;17Networks_LH_VisPeri_ExStrInf_3;255 1 3
10;lVisPeri_StriCal_1;17Networks_LH_VisPeri_StriCal_1;255 1 4
11;lVisPeri_ExStrSup_1;17Networks_LH_VisPeri_ExStrSup_1;255 1 5
12;lVisPeri_ExStrSup_2;17Networks_LH_VisPeri_ExStrSup_2;255 1 6
13;lSomMotA_1;17Networks_LH_SomMotA_1;70 130 178
14;lSomMotA_2;17Networks_LH_SomMotA_2;70 130 179
15;lSomMotA_3;17Networks_LH_SomMotA_3;70 130 181
16;lSomMotA_4;17Networks_LH_SomMotA_4;70 130 182
17;lSomMotA_5;17Networks_LH_SomMotA_5;70 130 183
18;lSomMotA_6;17Networks_LH_SomMotA_6;70 130 184
19;lSomMotA_7;17Networks_LH_SomMotA_7;70 130 185
20;lSomMotA_8;17Networks_LH_SomMotA_8;70 130 186
21;lSomMotB_Aud_1;17Networks_LH_SomMotB_Aud_1;43 204 162
22;lSomMotB_Aud_2;17Networks_LH_SomMotB_Aud_2;43 204 163
23;lSomMotB_S2_1;17Networks_LH_SomMotB_S2_1;43 204 165
24;lSomMotB_S2_2;17Networks_LH_SomMotB_S2_2;43 204 166
25;lSomMotB_Aud_3;17Networks_LH_SomMotB_Aud_3;43 204 167
26;lSomMotB_S2_3;17Networks_LH_SomMotB_S2_3;43 204 168
27;lSomMotB_Cent_1;17Networks_LH_SomMotB_Cent_1;43 204 169
28;lSomMotB_Cent_2;17Networks_LH_SomMotB_Cent_2;43 204 170
29;lDorsAttnA_TempOcc_1;17Networks_LH_DorsAttnA_TempOcc_1;74 155 61
30;lDorsAttnA_TempOcc_2;17Networks_LH_DorsAttnA_TempOcc_2;74 155 62
31;lDorsAttnA_ParOcc_1;17Networks_LH_DorsAttnA_ParOcc_1;74 155 63
32;lDorsAttnA_SPL_1;17Networks_LH_DorsAttnA_SPL_1;74 156 61
33;lDorsAttnA_SPL_2;17Networks_LH_DorsAttnA_SPL_2;74 156 62
34;lDorsAttnA_SPL_3;17Networks_LH_DorsAttnA_SPL_3;74 156 63
35;lDorsAttnB_PostC_1;17Networks_LH_DorsAttnB_PostC_1;0 118 16
36;lDorsAttnB_PostC_2;17Networks_LH_DorsAttnB_PostC_2;0 118 17
37;lDorsAttnB_PostC_3;17Networks_LH_DorsAttnB_PostC_3;0 118 18
38;lDorsAttnB_PostC_4;17Networks_LH_DorsAttnB_PostC_4;0 118 19
39;lDorsAttnB_FEF_1;17Networks_LH_DorsAttnB_FEF_1;0 119 15
40;lSalVentAttnA_ParOper_1;17Networks_LH_SalVentAttnA_ParOper_1;196 58 251
41;lSalVentAttnA_Ins_1;17Networks_LH_SalVentAttnA_Ins_1;196 59 251
42;lSalVentAttnA_FrOper_1;17Networks_LH_SalVentAttnA_FrOper_1;196 59 252
43;lSalVentAttnA_FrOper_2;17Networks_LH_SalVentAttnA_FrOper_2;196 59 253
44;lSalVentAttnA_ParMed_1;17Networks_LH_SalVentAttnA_ParMed_1;196 59 254
45;lSalVentAttnA_FrMed_1;17Networks_LH_SalVentAttnA_FrMed_1;197 58 251
46;lSalVentAttnA_FrMed_2;17Networks_LH_SalVentAttnA_FrMed_2;197 58 252
47;lSalVentAttnB_IPL_1;17Networks_LH_SalVentAttnB_IPL_1;255 152 214
48;lSalVentAttnB_PFCl_1;17Networks_LH_SalVentAttnB_PFCl_1;255 153 214
49;lSalVentAttnB_Ins_1;17Networks_LH_SalVentAttnB_Ins_1;255 153 215
50;lSalVentAttnB_PFCmp_1;17Networks_LH_SalVentAttnB_PFCmp_1;255 151 214
