ROIid;ROIabbr;ROIname;ROIcolor
1;lPreCG;Left Precentral gyrus;203 142 203
2;rPreCG;Right Precentral gyrus;203 142 203
3;lSFG;Left Superior frontal gyrus-dorsolateral;0 117 115
4;rSFG;Right Superior frontal gyrus-dorsolateral;0 117 115
5;lMFG;Left Middle frontal gyrus;191 23 23
6;rMFG;Right Middle frontal gyrus;191 23 23
7;lIFGoperc;Left Inferior frontal gyrus-opercular part;198 198 2
8;rIFGoperc;Right Inferior frontal gyrus-opercular part;198 198 2
9;lIFGtriang;Left Inferior frontal gyrus-triangular part;149 203 203
10;rIFGtriang;Right Inferior frontal gyrus-triangular part;149 203 203
11;lIFGorb;Left IFG pars orbitalis;102 102 102
12;rIFGorb;Right IFG pars orbitalis;102 102 102
13;lROL;Left Rolandic operculum;203 203 108
14;rROL;Right Rolandic operculum;203 203 108
15;lSMA;Left Supplementary motor area;152 69 47
16;rSMA;Right Supplementary motor area;152 69 47
17;lOLF;Left Olfactory cortex;162 81 203
18;rOLF;Right Olfactory cortex;162 81 203
19;lSFGmedial;Left Superior frontal gyrus-medial;0 254 0
20;rSFGmedial;Right Superior frontal gyrus-medial;0 254 0
21;lPFCventmed;Left Superior frontal gyrus-medial orbital;203 203 3
22;rPFCventmed;Right Superior frontal gyrus-medial orbital;203 203 3
23;lREC;Left Gyrus rectus;76 47 127
24;rREC;Right Gyrus rectus;76 47 127
25;lOFCmed;Left Medial orbital gyrus;54 54 203
26;rOFCmed;Right Medial orbital gyrus;54 54 203
27;lOFCant;Left Anterior orbital gyrus;0 203 0
28;rOFCant;Right Anterior orbital gyrus;0 203 0
29;lOFCpost;Left Posterior orbital gyrus;162 0 54
30;rOFCpost;Right Posterior orbital gyrus;162 0 54
31;lOFClat;Left Lateral orbital gyrus;254 254 4
32;rOFClat;Right Lateral orbital gyrus;254 254 4
33;lINS;Left Insula;184 148 39
34;rINS;Right Insula;184 148 39
35;lACC;Left Anterior cingulate & paracingulate gyri;0 203 203
36;rACC;Right Anterior cingulate & paracingulate gyri;0 203 203
37;lMCC;Left Middle cingulate & paracingulate gyri;128 102 0
38;rMCC;Right Middle cingulate & paracingulate gyri;128 102 0
39;lPCC;Left Posterior cingulate gyrus;0 203 0
40;rPCC;Right Posterior cingulate gyrus;0 203 0
41;lHIP;Left Hippocampus;203 142 203
42;rHIP;Right Hippocampus;203 142 203
43;lPHG;Left Parahippocampal gyrus;162 54 13
44;rPHG;Right Parahippocampal gyrus;162 54 13
45;lAMYG;Left Amygdala;203 203 3
46;rAMYG;Right Amygdala;203 203 3
47;lCAL;Left Calcarine fissure and surrounding cortex;162 0 56
48;rCAL;Right Calcarine fissure and surrounding cortex;162 0 56
49;lCUN;Left Cuneus;203 102 0
50;rCUN;Right Cuneus;203 102 0
51;lLING;Left Lingual gyrus;0 200 203
52;rLING;Right Lingual gyrus;0 200 203
53;lSOG;Left Superior occipital gyrus;94 0 26
54;rSOG;Right Superior occipital gyrus;94 0 26
55;lMOG;Left Middle occipital gyrus;204 204 204
56;rMOG;Right Middle occipital gyrus;204 204 204
57;lIOG;Left Inferior occipital gyrus;72 72 200
58;rIOG;Right Inferior occipital gyrus;72 72 200
59;lFFG;Left Fusiform gyrus;81 0 176
60;rFFG;Right Fusiform gyrus;81 0 176
61;lPoCG;Left Postcentral gyrus;162 0 54
62;rPoCG;Right Postcentral gyrus;162 0 54
63;lSPG;Left Superior parietal gyrus;134 53 0
64;rSPG;Right Superior parietal gyrus;134 53 0
65;lIPG;Left Inferior parietal gyrus-excluding supramarginal and angular gyri;122 203 67
66;rIPG;Right Inferior parietal gyrus-excluding supramarginal and angular gyri;122 203 67
67;lSMG;Left SupraMarginal gyrus;94 69 54
68;rSMG;Right SupraMarginal gyrus;94 69 54
69;lANG;Left Angular gyrus;0 135 203
70;rANG;Right Angular gyrus;0 135 203
71;lPCUN;Left Precuneus;13 176 67
72;rPCUN;Right Precuneus;13 176 67
73;lPCL;Left Paracentral lobule;0 200 0
74;rPCL;Right Paracentral lobule;0 200 0
75;lCAU;Left Caudate nucleus;108 0 162
76;rCAU;Right Caudate nucleus;108 0 162
77;lPUT;Left Lenticular nucleus-Putamen;61 61 203
78;rPUT;Right Lenticular nucleus-Putamen;61 61 203
79;lPAL;Left Lenticular nucleus-Pallidum;203 203 0
80;rPAL;Right Lenticular nucleus-Pallidum;203 203 0
81;lTHA;Left Thalamus;162 54 13
82;rTHA;Right Thalamus;162 54 13
83;lHES;Left Heschls gyrus;94 13 13
