ROIid;ROIabbr;ROIname;Vgm;Vwm;Vcsf
1;lAC;anterior commissure;0;1;0
2;rAC;anterior commissure;0;1;0
3;ldB;diagonal band of Broca;1;0;0
4;rdB;diagonal band of Broca;1;0;0
5;lFX;fornix;0;1;0
6;rFX;fornix;0;1;0
7;lMT;mammillothalamic tract;0;1;0
8;rMT;mammillothalamic tract;0;1;0
9;lMM;mammillary bodies;1;0;0
10;rMM;mammillary bodies;1;0;0
13;lSTN;subthalamic nucleus;1;0;0
14;rSTN;subthalamic nucleus;1;0;0
15;lSN;substantia nigra;1;0;0
16;rSN;substantia nigra;1;0;0
17;lRN;red nucleus;1;0;0
18;rRN;red nucleus;1;0;0
19;lMPO;medial preoptic nucleus;1;0;0
20;rMPO;medial preoptic nucleus;1;0;0
21;lPa;paraventricular nucleus;1;0;0
22;rPa;paraventricular nucleus;1;0;0
23;lDPEH;dorsal periventricular hypothalamic nucleus;1;0;0
24;rDPEH;dorsal periventricular hypothalamic nucleus;1;0;0
25;lLH;lateral hypothalamus;1;0;0
26;rLH;lateral hypothalamus;1;0;0
27;lVM;ventromedial hypothalamus;1;0;0
28;rVM;ventromedial hypothalamus;1;0;0
29;lAN;arcuate hypothalamic nucleus;1;0;0
30;rAN;arcuate hypothalamic nucleus;1;0;0
31;lPe;periventricular hypothalamic nucleus;1;0;0
32;rPe;periventricular hypothalamic nucleus;1;0;0
33;lBNST;bed nucleus of the stria terminalis;1;0;0
34;rBNST;bed nucleus of the stria terminalis;1;0;0
35;lNBM;nucleus basalis of Meynert;1;0;0
36;rNBM;nucleus basalis of Meynert;1;0;0
37;lDM;dorsomedial hypothalamic nucleus;1;0;0
38;rDM;dorsomedial hypothalamic nucleus;1;0;0
41;lZI;zona incerta;1;0;0
42;rZI;zona incerta;1;0;0
43;lITP;inferior thalamic peduncle;0;1;0
44;rITP;inferior thalamic peduncle;0;1;0
45;lSO;supraoptic hypothalamic nucleus;1;0;0
46;rSO;supraoptic hypothalamic nucleus;1;0;0
47;lSC;suprachiasmatic hypothalamic nucleus;1;0;0
48;rSC;suprachiasmatic hypothalamic nucleus;1;0;0
49;lTM;tuberomammillary hypothalamic nucleus;1;0;0
50;rTM;tuberomammillary hypothalamic nucleus;1;0;0
51;lPH;posterior hypotahalamic nucleus;1;0;0
52;rPH;posterior hypotahalamic nucleus;1;0;0
53;lAHA;anterior hypothalamic area;1;0;0
54;rAHA;anterior hypothalamic area;1;0;0
