ROIid;ROIabbr;ROIname;ROIoname
1;lTE1.1;Left Area TE 1.1 (HESCHL);TE 1.1 (HESCHL)
2;rTE1.1;Right Area TE 1.1 (HESCHL);TE 1.1 (HESCHL)
3;l3b;Left Area 3b (PostCG);3b (PostCG)
4;r3b;Right Area 3b (PostCG);3b (PostCG)
5;lhOc4la;Left Area hOc4la (LOC);hOc4la (LOC)
6;rhOc4la;Right Area hOc4la (LOC);hOc4la (LOC)
7;lPF;Left Area PF (IPL);PF (IPL)
8;rPF;Right Area PF (IPL);PF (IPL)
9;lhOc2;Left Area hOc2 (V2, 18);hOc2 (V2, 18)
10;rhOc2;Right Area hOc2 (V2, 18);hOc2 (V2, 18)
11;l6d2;Left Area 6d2 (PreCG);6d2 (PreCG)
12;r6d2;Right Area 6d2 (PreCG);6d2 (PreCG)
13;lIg3;Left Area Ig3 (Insula);Ig3 (Insula)
14;rIg3;Right Area Ig3 (Insula);Ig3 (Insula)
15;lhOc4d;Left Area hOc4d (Cuneus);hOc4d (Cuneus)
16;rhOc4d;Right Area hOc4d (Cuneus);hOc4d (Cuneus)
17;lFo4;Left Area Fo4 (OFC);Fo4 (OFC)
18;rFo4;Right Area Fo4 (OFC);Fo4 (OFC)
19;lOP4;Left Area OP4 (POperc);OP4 (POperc)
20;rOP4;Right Area OP4 (POperc);OP4 (POperc)
21;l1;Left Area 1 (PostCG);1 (PostCG)
22;r1;Right Area 1 (PostCG);1 (PostCG)
23;lCh4;Left Ch 4 (Basal Forebrain);Ch 4 (Basal Forebrain)
24;rCh4;Right Ch 4 (Basal Forebrain);Ch 4 (Basal Forebrain)
25;lGapF-I;Left GapMap Frontal-I (GapMap);GapMap Frontal-I (GapMap)
26;rGapF-I;Right GapMap Frontal-I (GapMap);GapMap Frontal-I (GapMap)
27;lhPO1;Left Area hPO1 (POS);hPO1 (POS)
28;rhPO1;Right Area hPO1 (POS);hPO1 (POS)
29;lDDN;Left Dorsal Dentate Nucleus (Cerebellum);Dorsal Dentate Nucleus (Cerebellum)
30;rDDN;Right Dorsal Dentate Nucleus (Cerebellum);Dorsal Dentate Nucleus (Cerebellum)
31;lOP2;Left Area OP2 (POperc);OP2 (POperc)
32;rOP2;Right Area OP2 (POperc);OP2 (POperc)
33;lTE1.0;Left Area TE 1.0 (HESCHL);TE 1.0 (HESCHL)
34;rTE1.0;Right Area TE 1.0 (HESCHL);TE 1.0 (HESCHL)
35;lSTS2;Left Area STS2 (STS);STS2 (STS)
36;rSTS2;Right Area STS2 (STS);STS2 (STS)
37;lId3;Left Area Id3 (Insula);Id3 (Insula)
38;rId3;Right Area Id3 (Insula);Id3 (Insula)
39;l6mp;Left Area 6mp (SMA, mesial SFG);6mp (SMA, mesial SFG)
40;r6mp;Right Area 6mp (SMA, mesial SFG);6mp (SMA, mesial SFG)
41;lDG;Left DG (Hippocampus);DG (Hippocampus)
42;rDG;Right DG (Hippocampus);DG (Hippocampus)
43;lPGp;Left Area PGp (IPL);PGp (IPL)
44;rPGp;Right Area PGp (IPL);PGp (IPL)
45;lIg1;Left Area Ig1 (Insula);Ig1 (Insula)
46;rIg1;Right Area Ig1 (Insula);Ig1 (Insula)
47;l6ma;Left Area 6ma (preSMA, mesial SFG);6ma (preSMA, mesial SFG)
