ROIid;ROIabbr;ROIname
1;l3b;Left Area 3b (PostCG)
2;r3b;Right Area 3b (PostCG)
5;lPF;Left Area PF (IPL)
6;rPF;Right Area PF (IPL)
3;lhOc4la;Left Area hOc4la (LOC)
4;rhOc4la;Right Area hOc4la (LOC)
7;lCoS1;Left Area CoS1 (CoS)
8;rCoS1;Right Area CoS1 (CoS)
9;lAstr;Left Astr (Amygdala)
10;rAstr;Right Astr (Amygdala)
11;lId8;Left Area Id8 (Insula)
12;rId8;Right Area Id8 (Insula)
13;lSFG4;Left Area SFG4 (SFG)
14;rSFG4;Right Area SFG4 (SFG)
15;l1;Left Area 1 (PostCG)
16;r1;Right Area 1 (PostCG)
17;lPo;Left Po (Thalamus, posterior Nucleus)
18;rPo;Right Po (Thalamus, posterior Nucleus)
19;lTe1.0;Left Area Te 1.0 (HESCHL)
20;rTe1.0;Right Area Te 1.0 (HESCHL)
21;lSTS2;Left Area STS2 (STS)
22;rSTS2;Right Area STS2 (STS)
23;lLD;Left LD (Thalamus, lateral dorsal Nucleus)
24;rLD;Right LD (Thalamus, lateral dorsal Nucleus)
25;l6mp;Left Area 6mp (SMA, mesial SFG)
26;r6mp;Right Area 6mp (SMA, mesial SFG)
27;lId3;Left Area Id3 (Insula)
28;rId3;Right Area Id3 (Insula)
29;lZI;Left ZI (Thalamus, zona incerta)
30;rZI;Right ZI (Thalamus, zona incerta)
31;lCGM;Left CGM (Metathalamus)
32;rCGM;Right CGM (Metathalamus)
33;lPirTB;Left Area PirTB (PiriformCortexMesial, temporobasal)
34;rPirTB;Right Area PirTB (PiriformCortexMesial, temporobasal)
35;lNRp;Left NRp (Midbrain, Nucleus Ruber, parvocellular part)
36;rNRp;Right NRp (Midbrain, Nucleus Ruber, parvocellular part)
41;lTI;Left Area TI (STG)
42;rTI;Right Area TI (STG)
39;lp24ab;Left Area p24ab (pACC)
40;rp24ab;Right Area p24ab (pACC)
37;lPFt;Left Area PFt (IPL)
38;rPFt;Right Area PFt (IPL)
43;lFG5;Left Area FG5 (FusG)
44;rFG5;Right Area FG5 (FusG)
47;lPUi;Left PUi (Thalamus, inferior pulvinar)
48;rPUi;Right PUi (Thalamus, inferior pulvinar)
45;lPUm;Left PUm (Thalamus, medial pulvinar)
46;rPUm;Right PUm (Thalamus, medial pulvinar)
49;lTe3;Left Area Te 3 (STG)
50;rTe3;Right Area Te 3 (STG)
53;lFrontal-to-Occipital;Left Frontal-to-Occipital (GapMap)
54;rFrontal-to-Occipital;Right Frontal-to-Occipital (GapMap)
51;lMFG1;Left Area MFG1 (MFG)
52;rMFG1;Right Area MFG1 (MFG)
55;l7P;Left Area 7P (SPL)
56;r7P;Right Area 7P (SPL)
57;l6r1;Left Area 6r1 (PreCG)
58;r6r1;Right Area 6r1 (PreCG)
59;l6d1;Left Area 6d1 (PreCG)
60;r6d1;Right Area 6d1 (PreCG)
61;lVA;Left VA (Thalamus, ventral anterior Nucleus (ventral))
62;rVA;Right VA (Thalamus, ventral anterior Nucleus (ventral))
63;lhIP4;Left Area hIP4 (IPS)
64;rhIP4;Right Area hIP4 (IPS)
65;lOp6;Left Area Op6 (Frontal Operculum)
66;rOp6;Right Area Op6 (Frontal Operculum)
