ROIid;ROIabbr;ROIname
1;lSupParLo;Left Superior Parietal Lobule
2;rSupParLo;Right Superior Parietal Lobule
3;lCinGy;Left Cingulate Gyrus
4;rCinGy;Right Cingulate Gyrus
5;lSupFroGy;Left Superior Frontal Gyrus
6;rSupFroGy;Right Superior Frontal Gyrus
7;lMidFroGy;Left Middle Frontal Gyrus
8;rMidFroGy;Right Middle Frontal Gyrus
9;lFroGy;Left Frontal Gyrus
10;rFroGy;Right Frontal Gyrus
11;lPrcGy;Left Precentral Gyrus
12;rPrcGy;Right Precentral Gyrus
13;lPoCGy;Left Postcentral Gyrus
14;rPoCGy;Right Postcentral Gyrus
15;lAngGy;Left Angular Gyrus
16;rAngGy;Right Angular Gyrus
17;lCun;Left Cuneus
18;rCun;Right Cuneus
19;lLinGy;Left Lingual Gyrus
20;rLinGy;Right Lingual Gyrus
21;lFusGy;Left Fusiform Gyrus
22;rFusGy;Right Fusiform Gyrus
23;lParHipGy;Left Parahippocampus Gyrus
24;rParHipGy;Right Parahippocampus Gyrus
25;lSupOccGy;Left Superior Occipital Gyrus
26;rSupOccGy;Right Superior Occipital Gyrus
27;lOccGy;Left Occipital Gyrus
28;rOccGy;Right Occipital Gyrus
29;lMidOccGy;Left Middle Occipital Gyrus
30;rMidOccGy;Right Middle Occipital Gyrus
31;lEnt;Left Entorhinal Area
32;rEnt;Right Entorhinal Area
33;lSupTemGy;Left Superior Temporal Gyrus
34;rSupTemGy;Right Superior Temporal Gyrus
35;lTemGy;Left Temporal Gyrus
36;rTemGy;Right Temporal Gyrus
37;lMidTemGy;Left Middle Temporal Gyrus
38;rMidTemGy;Right Middle Temporal Gyrus
39;lLatOrbGy;Left Lateral Orbital Gyrus
40;rLatOrbGy;Right Lateral Orbital Gyrus
41;lMidOrbGy;Left Middle Orbital Gyrus
42;rMidOrbGy;Right Middle Orbital Gyrus
43;lSupMarGy;Left Supramarginal Gyrus
44;rSupMarGy;Right Supramarginal Gyrus
45;lRecGy;Left Gyrus Rectus
46;rRecGy;Right Gyrus Rectus
47;lIns;Left Insula
48;rIns;Right Insula
49;lAmy;Left Amygdala
50;rAmy;Right Amygdala
51;lHip;Left Hippocampus
52;rHip;Right Hippocampus
53;lCbe;Left Cerebellum
54;rCbe;Right Cerebellum
55;lCST;Left corticospinal_tract
56;rCST;Right corticospinal_tract
57;lCbePed;Left Cerebellar Peduncle
58;rCbePed;Right Cerebellar Peduncle
59;lMedLem;Left Medial Lemniscus
60;rMedLem;Right Medial Lemniscus
61;lSupCbePed;Left Superior Cerebellar Peduncle
62;rSupCbePed;Right Superior Cerebellar Peduncle
63;lCbrPed;Left Cerebral Peduncle
64;rCbrPed;Right Cerebral Peduncle
65;lAntCapLIC;Left Anterior Capsule Limb of Internal
66;rAntCapLIC;Right Anterior Capsule Limb of Internal
67;lPosCapLIC;Left Posterior Capsule Limb of Internal
68;rPosCapLIC;Right Posterior Capsule Limb of Internal
69;lPosThR;Left Posterior Thalamic Radiation
70;rPosThR;Right Posterior Thalamic Radiation
71;lAntCR;Left Anterior Corona Radiata
72;rAntCR;Right Anterior Corona Radiata
73;lSupCR;Left Superior Corona Radiata
74;rSupCR;Right Superior Corona Radiata
75;lPosCR;Left Posterior Corona Radiata
76;rPosCR;Right Posterior Corona Radiata
77;lCin+CinGy;Left Cingulate and Cingulum Gyrus
78;rCin+CinGy;Right Cingulate and Cingulum Gyrus
79;lCin+Hip;Left Cingulum and Hippocampus
80;rCin+Hip;Right Cingulum and Hippocampus
81;lForStrTer;Left Fornix Stria Terminalis
82;rForStrTer;Right Fornix Stria Terminalis
83;lSupLonLon;Left Superior Longitudinal Longitudinal
84;rSupLonLon;Right Superior Longitudinal Longitudinal
85;lSupOcc;Left Superior Occipital
86;rSupOcc;Right Superior Occipital
87;lOcc;Left Occipital
88;rOcc;Right Occipital
89;lSagStr;Left Sagital Stratum
90;rSagStr;Right Sagital Stratum
91;lCapExt;Left Capsule External
92;rCapExt;Right Capsule External
93;lUNC;Left Uncinate
94;rUNC;Right Uncinate
95;lPCT;Left Pontine Crossing Tract
96;rPCT;Right Pontine Crossing Tract
97;lMidCbePed;Left Middle Cerebellar Peduncle
98;rMidCbePed;Right Middle Cerebellar Peduncle
99;lBodForCol;Left (Body) Fornix Column
100;rBodForCol;Right (Body) Fornix Column
101;lCCGen;Left Corpus Callosum (Genu)
102;rCCGen;Right Corpus Callosum (Genu)
103;lCCBod;Left Corpus Callosum (Body)
104;rCCBod;Right Corpus Callosum (Body)
105;lCC;Left Corpus Callosum
106;rCC;Right Corpus Callosum
107;lCapRetLenINC;Left Capsule Retrolenticular_part_of_internal_capsule
108;rCapRetLenINC;Right Capsule Retrolenticular_part_of_internal_capsule
109;lRedNuc;Left Red-Nucleus
110;rRedNuc;Right Red-Nucleus
111;lSubNig;Left Substancia-Nigra
112;rSubNig;Right Substancia-Nigra
113;lTap;Left Tapatum
114;rTap;Right Tapatum
115;lCauNuc;Left Caudate Nucleus
116;rCauNuc;Right Caudate Nucleus
117;lPut;Left Putamen
118;rPut;Right Putamen
119;lTha;Left Thalamus
120;rTha;Right Thalamus
121;lGloPal;Left Globus Pallidus
122;rGloPal;Right Globus Pallidus
123;lMBR;Left Midbrain
124;rMBR;Right Midbrain
125;lPNS;Left Pons
126;rPNS;Right Pons
127;lMDA;Left Medulla
128;rMDA;Right Medulla
