ROIid;ROIabbr;ROIname
1;L.aSFG;Anterior Superior Frontal Gyrus
2;R.aSFG;Anterior Superior Frontal Gyrus
3;L.mSFG;Middle Superior Frontal Gyrus 
4;R.mSFG;Middle Superior Frontal Gyrus 
5;L.pSFG;Posterior Superior Frontal Gyrus 
6;R.pSFG;Posterior Superior Frontal Gyrus 
7;L.aMFG;Anterior Middle Frontal Gyrus 
8;R.aMFG;Anterior Middle Frontal Gyrus 
9;L.pMFG;Posterior Middle Frontal Gyrus 
10;R.pMFG;Posterior Middle Frontal Gyrus 
11;L.aIFG;Anterior Inferior Frontal Gyrus 
12;R.aIFG;Anterior Inferior Frontal Gyrus 
13;L.mIFG;Middle Infertior Frontal Gryus 
14;R.mIFG;Middle Infertior Frontal Gryus 
15;L.pIFG;Posterior Inferior Frontal Gyrus 
16;R.pIFG;Posterior Inferior Frontal Gyrus 
17;L.mOFC;Medial Orbitofrontal Cortex 
18;R.mOFC;Medial Orbitofrontal Cortex 
19;L.latOFC;Lateral Orbito-frontal Cortex 
20;R.latOFC;Lateral Orbito-frontal Cortex 
21;L.ACC;Anterior Cingulate Cortex
22;R.ACC;Anterior Cingulate Cortex 
23;L.MCC;Middle Cingulate Cortex 
24;R.MCC;Middle Cingulate Cortex 
25;L.PCC;Posterior Cingulate Cortex 
26;R.PCC;Posterior Cingulate Cortex 
27;L.sPrCG;Superior Precentral Gyrus 
28;R.sPrCG;Superior Precentral Gyrus 
29;L.mPrCG;Middle Precentral Gyrus 
30;R.mPrCG;Middle Precentral Gyrus 
31;L.iPrCG;Inferior Precentral Gyrus 
32;R.iPrCG;Inferior Precentral Gyrus 
33;L.PCL;Paracentral Lobule 
34;R.PCL;Paracentral Lobule 
35;L.FrOP;Frontal Operculum
36;R.FrOP;Frontal Operculum
37;L.PaOP;Partietal Operculum
38;R.PaOP;Partietal Operculum
39;L.aIns;Anterior Insula 
40;R.aIns;Anterior Insula 
41;L.pIns;Posterior Insula 
42;R.pIns;Posterior Insula 
43;L.aTTG;Anterior Transverse Temporal Gyrus
44;R.aTTG;Anterior Transverse Temporal Gyrus
45;L.pTTG;Posterior Transverse Temporal Gyrus
46;R.pTTG;Posterior Transverse Temporal Gyrus
47;L.aSTG;Anterior Superior Temporal Gyrus 
48;R.aSTG;Anterior Superior Temporal Gyrus 
49;L.pSTG;Posterior Superior Temporal Gyrus 
50;R.pSTG;Posterior Superior Temporal Gyrus 
51;L.aMTG;Anterior Middle Temporal Gyrus 
52;R.aMTG;Anterior Middle Temporal Gyrus 
53;L.pMTG;Posterior Middle Temporal Gyrus 
54;R.pMTG;Posterior Middle Temporal Gyrus 
55;L.aITG;Anterior Inferior Temporal Gyrus 
56;R.aITG;Anterior Inferior Temporal Gyrus 
57;L.pITG;Posterior Inferior Temporal Gyrus 
58;R.pITG;Posterior Inferior Temporal Gyrus 
59;L.EHC;Entorhinal Cortex 
60;R.EHC;Entorhinal Cortex 
61;L.aFFG;Anterior Fusiform Gyrus 
62;R.aFFG;Anterior Fusiform Gyrus 
63;L.pFFG;Posterior Fusiform Gyrus
64;R.pFFG;Posterior Fusiform Gyrus
65;L.PHC;Parahippocampal Gyrus 
66;R.PHC;Parahippocampal Gyrus 
67;L.Amy;Amygdala 
68;R.Amy;Amygdala 
69;L.HC;Hippocampus 
70;R.HC;Hippocampus 
71;L.sPoCG;Superior Postcentral Gyrus 
72;R.sPotCG;Superior Postcentral Gyrus 
73;L.mPoCG;Middle Postcentral Gyrus 
74;R.mPoCG;Middle Postcentral Gyrus 
75;L.iPoCG;Inferior Postcentral Gyrus 
76;R.iPoCG;Inferior Postcentral Gyrus 
77;L.SPL;Superior Parietal Lobule 
78;R.SPL;Superior Parietal Lobule 
79;L.SMG;Supramarginal Gyrus 
80;R.SMG;Supramarginal Gyrus 
81;L.AnG;Angular Gyrus 
82;R.AnG;Angular Gyrus 
83;L.PCun;Precuneus 
84;R.PCun;Precuneus 
85;L.Cun;Cuneus 
86;R.Cun;Cuneus 
87;L.LG;Lingual Gyrus 
88;R.LG;Lingual Gyrus 
89;L.Calc;Calcarine Area
90;R.Calc;Calcarine Area
91;L.sOG;Superior Occipital Gyrus 
92;R.sOG;Superior Occipital Gyrus 
93;L.mOG;Middle Occipital Gyrus 
94;R.mOG;Middle Occipital Gyrus 
95;L.iOG;Inferior Occipital Gyrus 
96;R.iOG;Inferior Occipital Gyrus 
97;L.CN;Caudate Nuclues 
98;R.CN;Caudate Nuclues 
99;L.NA;Nucleus Accumbens 
100;R.NA;Nucleus Accumbens 
101;L.BF;Basal Forebrain Nuclei 
102;R.BF;Basal Forebrain Nuclei 
103;L.Pu;Putamen 
104;R.Pu;Putamen 
105;L.GP;Globus pallidus 
106;R.GP;Globus pallidus 
107;L.Th;Thalamus 
108;R.Th;Thalamus 
109;L.HT;Hypothalamus 
110;R.HT;Hypothalamus 
111;L.CerIX;Cerebellum IX-Tonsil 
112;R.CerIX;Cerebellum IX-Tonsil 
113;L.CerVIII;Cerebellum VIIIAB-Inferior Posterior Lobe-PML 
114;R.CerVIII;Cerebellum VIIIAB-Inferior Posterior Lobe-PML 
115;L.CrusI;Cerebellum VIIA-Superior Posterior Lobe-Crus I of Ansiform Lobule 
116;R.CrusI;Cerebellum VIIA-Superior Posterior Lobe-Crus I of Ansiform Lobule 
117;L.CrusII;Cerebellum VIIA-Superior Posterior Lobe-Crus II of Ansiform Lobule with Paramedian 1 
118;R.CrusII;Cerebellum VIIA-Superior Posterior Lobe-Crus II of Ansiform Lobule with Paramedian 1 
119;L.CerVI;Cerebellum VI-Superior Posterior Lobe 
120;R.CerVI;Cerebellum VI-Superior Posterior Lobe 
121;L.CerVB;Cerebellum V-Anterior Lobe B 
122;R.CerVB;Cerebellum V-Anterior Lobe B 
123;L.CerVA;Cerebellum V-Anterior Lobe A 
124;R.CerVA;Cerebellum V-Anterior Lobe A 
125;L.CerIV;Cerebellum IV-Anterior Quadrangulate Lobe 
126;R.CerIV;Cerebellum IV-Anterior Quadrangulate Lobe 
127;L.CerIII;Cerebellum III-Anterior Quadrangulate Lobe 
128;R.CerIII;Cerebellum III-Anterior Quadrangulate Lobe 
129;L.CerII;Cerebellum II-Anterior Quadrangulate Lobe 
130;R.CerII;Cerebellum II-Anterior Quadrangulate Lobe 
