ROIid;ROIabbr;ROIname
1;lVisCent_ExStr_1;17Networks_LH_VisCent_ExStr_1
2;lVisCent_ExStr_2;17Networks_LH_VisCent_ExStr_2
3;lVisCent_Striate_1;17Networks_LH_VisCent_Striate_1
4;lVisCent_ExStr_3;17Networks_LH_VisCent_ExStr_3
5;lVisPeri_ExStrInf_1;17Networks_LH_VisPeri_ExStrInf_1
6;lVisPeri_StriCal_1;17Networks_LH_VisPeri_StriCal_1
7;lVisPeri_ExStrSup_1;17Networks_LH_VisPeri_ExStrSup_1
8;lSomMotA_1;17Networks_LH_SomMotA_1
9;lSomMotA_2;17Networks_LH_SomMotA_2
10;lSomMotB_Aud_1;17Networks_LH_SomMotB_Aud_1
11;lSomMotB_S2_1;17Networks_LH_SomMotB_S2_1
12;lSomMotB_S2_2;17Networks_LH_SomMotB_S2_2
13;lSomMotB_Cent_1;17Networks_LH_SomMotB_Cent_1
14;lDorsAttnA_TempOcc_1;17Networks_LH_DorsAttnA_TempOcc_1
15;lDorsAttnA_ParOcc_1;17Networks_LH_DorsAttnA_ParOcc_1
16;lDorsAttnA_SPL_1;17Networks_LH_DorsAttnA_SPL_1
17;lDorsAttnB_PostC_1;17Networks_LH_DorsAttnB_PostC_1
18;lDorsAttnB_PostC_2;17Networks_LH_DorsAttnB_PostC_2
19;lDorsAttnB_PostC_3;17Networks_LH_DorsAttnB_PostC_3
20;lDorsAttnB_FEF_1;17Networks_LH_DorsAttnB_FEF_1
21;lSalVentAttnA_ParOper_1;17Networks_LH_SalVentAttnA_ParOper_1
22;lSalVentAttnA_Ins_1;17Networks_LH_SalVentAttnA_Ins_1
23;lSalVentAttnA_Ins_2;17Networks_LH_SalVentAttnA_Ins_2
24;lSalVentAttnA_ParMed_1;17Networks_LH_SalVentAttnA_ParMed_1
25;lSalVentAttnA_FrMed_1;17Networks_LH_SalVentAttnA_FrMed_1
26;lSalVentAttnB_PFCl_1;17Networks_LH_SalVentAttnB_PFCl_1
27;lSalVentAttnB_PFCmp_1;17Networks_LH_SalVentAttnB_PFCmp_1
28;lLimbicB_OFC_1;17Networks_LH_LimbicB_OFC_1
29;lLimbicA_TempPole_1;17Networks_LH_LimbicA_TempPole_1
30;lLimbicA_TempPole_2;17Networks_LH_LimbicA_TempPole_2
31;lContA_IPS_1;17Networks_LH_ContA_IPS_1
32;lContA_PFCl_1;17Networks_LH_ContA_PFCl_1
33;lContA_PFCl_2;17Networks_LH_ContA_PFCl_2
34;lContB_PFClv_1;17Networks_LH_ContB_PFClv_1
35;lContC_pCun_1;17Networks_LH_ContC_pCun_1
36;lContC_pCun_2;17Networks_LH_ContC_pCun_2
37;lContC_Cingp_1;17Networks_LH_ContC_Cingp_1
38;lDefaultA_PFCd_1;17Networks_LH_DefaultA_PFCd_1
39;lDefaultA_pCunPCC_1;17Networks_LH_DefaultA_pCunPCC_1
40;lDefaultA_PFCm_1;17Networks_LH_DefaultA_PFCm_1
41;lDefaultB_Temp_1;17Networks_LH_DefaultB_Temp_1
42;lDefaultB_Temp_2;17Networks_LH_DefaultB_Temp_2
43;lDefaultB_IPL_1;17Networks_LH_DefaultB_IPL_1
44;lDefaultB_PFCd_1;17Networks_LH_DefaultB_PFCd_1
45;lDefaultB_PFCl_1;17Networks_LH_DefaultB_PFCl_1
46;lDefaultB_PFCv_1;17Networks_LH_DefaultB_PFCv_1
47;lDefaultB_PFCv_2;17Networks_LH_DefaultB_PFCv_2
48;lDefaultC_Rsp_1;17Networks_LH_DefaultC_Rsp_1
49;lDefaultC_PHC_1;17Networks_LH_DefaultC_PHC_1
50;lTempPar_1;17Networks_LH_TempPar_1
51;rVisCent_ExStr_1;17Networks_RH_VisCent_ExStr_1
52;rVisCent_ExStr_2;17Networks_RH_VisCent_ExStr_2
53;rVisCent_ExStr_3;17Networks_RH_VisCent_ExStr_3
54;rVisPeri_StriCal_1;17Networks_RH_VisPeri_StriCal_1
55;rVisPeri_ExStrInf_1;17Networks_RH_VisPeri_ExStrInf_1
56;rVisPeri_ExStrSup_1;17Networks_RH_VisPeri_ExStrSup_1
57;rSomMotA_1;17Networks_RH_SomMotA_1
58;rSomMotA_2;17Networks_RH_SomMotA_2
59;rSomMotA_3;17Networks_RH_SomMotA_3
60;rSomMotA_4;17Networks_RH_SomMotA_4
61;rSomMotB_Aud_1;17Networks_RH_SomMotB_Aud_1
62;rSomMotB_S2_1;17Networks_RH_SomMotB_S2_1
63;rSomMotB_S2_2;17Networks_RH_SomMotB_S2_2
64;rSomMotB_Cent_1;17Networks_RH_SomMotB_Cent_1
65;rDorsAttnA_TempOcc_1;17Networks_RH_DorsAttnA_TempOcc_1
66;rDorsAttnA_ParOcc_1;17Networks_RH_DorsAttnA_ParOcc_1
67;rDorsAttnA_SPL_1;17Networks_RH_DorsAttnA_SPL_1
68;rDorsAttnB_PostC_1;17Networks_RH_DorsAttnB_PostC_1
69;rDorsAttnB_PostC_2;17Networks_RH_DorsAttnB_PostC_2
70;rDorsAttnB_FEF_1;17Networks_RH_DorsAttnB_FEF_1
71;rSalVentAttnA_ParOper_1;17Networks_RH_SalVentAttnA_ParOper_1
72;rSalVentAttnA_Ins_1;17Networks_RH_SalVentAttnA_Ins_1
73;rSalVentAttnA_ParMed_1;17Networks_RH_SalVentAttnA_ParMed_1
74;rSalVentAttnA_FrMed_1;17Networks_RH_SalVentAttnA_FrMed_1
75;rSalVentAttnB_IPL_1;17Networks_RH_SalVentAttnB_IPL_1
76;rSalVentAttnB_PFCl_1;17Networks_RH_SalVentAttnB_PFCl_1
77;rSalVentAttnB_PFCmp_1;17Networks_RH_SalVentAttnB_PFCmp_1
78;rLimbicB_OFC_1;17Networks_RH_LimbicB_OFC_1
79;rLimbicA_TempPole_1;17Networks_RH_LimbicA_TempPole_1
80;rContA_IPS_1;17Networks_RH_ContA_IPS_1
81;rContA_PFCl_1;17Networks_RH_ContA_PFCl_1
82;rContA_PFCl_2;17Networks_RH_ContA_PFCl_2
83;rContB_Temp_1;17Networks_RH_ContB_Temp_1
84;rContB_IPL_1;17Networks_RH_ContB_IPL_1
85;rContB_PFCld_1;17Networks_RH_ContB_PFCld_1
86;rContB_PFClv_1;17Networks_RH_ContB_PFClv_1
87;rContC_Cingp_1;17Networks_RH_ContC_Cingp_1
88;rContC_pCun_1;17Networks_RH_ContC_pCun_1
89;rDefaultA_IPL_1;17Networks_RH_DefaultA_IPL_1
90;rDefaultA_PFCd_1;17Networks_RH_DefaultA_PFCd_1
91;rDefaultA_pCunPCC_1;17Networks_RH_DefaultA_pCunPCC_1
92;rDefaultA_PFCm_1;17Networks_RH_DefaultA_PFCm_1
93;rDefaultB_PFCd_1;17Networks_RH_DefaultB_PFCd_1
94;rDefaultB_PFCv_1;17Networks_RH_DefaultB_PFCv_1
95;rDefaultB_PFCv_2;17Networks_RH_DefaultB_PFCv_2
96;rDefaultC_Rsp_1;17Networks_RH_DefaultC_Rsp_1
97;rDefaultC_PHC_1;17Networks_RH_DefaultC_PHC_1
98;rTempPar_1;17Networks_RH_TempPar_1
99;rTempPar_2;17Networks_RH_TempPar_2
100;rTempPar_3;17Networks_RH_TempPar_3
